timestamp,scan_count,opportunities_found,api_calls
2026-02-06T01:39:16.235159+00:00,0,0,3
2026-02-06T01:39:46.240233+00:00,1,0,56
2026-02-06T01:40:16.245585+00:00,2,0,109
2026-02-06T01:53:49.552722+00:00,0,0,3
