symbol,price_usd,change_24h_pct,volume_24h,market_cap,timestamp
BTC,64447.0,-11.361068394776941,162115392390.49158,1280971535060.2834,2026-02-06T01:36:23.212838+00:00
ETH,1905.18,-11.691921494659319,72740432047.98216,228529734142.7378,2026-02-06T01:36:23.212838+00:00
